publisher,count,north_america,europe,japan,rest_of_world,global,North America Ave/Game,Europe Ave/Game,Japan Ave/Game,Rest of World Ave/Game,Global Ave/Game
Electronic Arts,322,312.47,163.54,5.22,54.87,536.05,0.9704037267080746,0.5078881987577639,0.016211180124223602,0.17040372670807452,1.664751552795031
Nintendo,243,396.51,175.76,237.86,37.87,848.04,1.6317283950617283,0.7232921810699589,0.9788477366255145,0.15584362139917696,3.4898765432098764
Sony Computer Entertainment,138,116.74,80.43,34.35,28.990000000000002,260.56,0.8459420289855072,0.5828260869565218,0.24891304347826088,0.21007246376811595,1.8881159420289855
Activision,118,124.14,66.8,1.53,18.8,211.23,1.0520338983050848,0.5661016949152542,0.012966101694915255,0.1593220338983051,1.7900847457627118
Nintendo  ,102,497.01,316.29,231.98,72.85,1117.99,4.872647058823529,3.1008823529411766,2.274313725490196,0.7142156862745097,10.960686274509804
THQ,90,81.76,48.02,2.58,13.68,145.98,0.9084444444444445,0.5335555555555556,0.028666666666666667,0.152,1.6219999999999999
Ubisoft,82,70.51,47.57,1.09,14.11,133.26,0.8598780487804879,0.5801219512195122,0.01329268292682927,0.1720731707317073,1.625121951219512
Sega,81,60.65,39.82,11.89,10.31,122.67,0.7487654320987654,0.49160493827160495,0.14679012345679013,0.12728395061728395,1.5144444444444445
Take-Two Interactive,65,66.8,34.64,1.58,12.51,115.54,1.0276923076923077,0.5329230769230769,0.024307692307692308,0.19246153846153846,1.7775384615384617
Capcom,60,44.21,21.12,31.65,6.45,103.37,0.7368333333333333,0.35200000000000004,0.5275,0.1075,1.7228333333333334
Konami Digital Entertainment,50,22.24,38.14,19.23,10.27,89.84,0.4448,0.7628,0.3846,0.2054,1.7968000000000002
Namco Bandai Games,38,27.67,13.59,17.93,4.55,63.77,0.7281578947368421,0.3576315789473684,0.4718421052631579,0.11973684210526316,1.6781578947368423
Microsoft Game Studios,34,48.49,19.79,1.3800000000000001,6.0600000000000005,75.76,1.4261764705882354,0.5820588235294117,0.04058823529411765,0.17823529411764708,2.2282352941176473
Square Enix,32,20.05,10.83,23.23,4.54,58.64,0.6265625,0.3384375,0.7259375,0.141875,1.8325
LucasArts,30,29.23,16.46,0.2,5.7299999999999995,51.6,0.9743333333333334,0.5486666666666667,0.006666666666666667,0.19099999999999998,1.72
Atari,27,24.59,8.91,6.47,2.38,42.42,0.9107407407407407,0.33,0.2396296296296296,0.08814814814814814,1.5711111111111111
Disney Interactive Studios,24,21.87,11.549999999999999,0.21,3.41,37.04,0.91125,0.48124999999999996,0.008749999999999999,0.14208333333333334,1.5433333333333332
Sony Computer Entertainment  ,23,66.47,51.91,17.88,24.72,161.03,2.89,2.2569565217391303,0.777391304347826,1.0747826086956522,7.001304347826087
Activision  ,22,100.31,61.76,3.39,21.44,186.84,4.559545454545455,2.807272727272727,0.15409090909090908,0.9745454545454546,8.492727272727272
Eidos Interactive,22,22.32,14.87,2.4,3.1,42.67,1.0145454545454546,0.6759090909090909,0.10909090909090909,0.1409090909090909,1.9395454545454547
Acclaim Entertainment,21,22.36,7.46,0.1,1.52,31.4,1.0647619047619048,0.35523809523809524,0.004761904761904762,0.07238095238095238,1.4952380952380953
Electronic Arts  ,19,39.8,49.74,2.04,13.360000000000001,104.9,2.094736842105263,2.6178947368421053,0.10736842105263159,0.7031578947368422,5.521052631578947
Warner Bros. Interactive Entertainment,17,16.34,7.38,0.02,2.8,26.55,0.9611764705882353,0.4341176470588235,0.0011764705882352942,0.16470588235294117,1.561764705882353
Midway Games,17,15.709999999999999,6.89,0.0,2.35,24.96,0.9241176470588235,0.4052941176470588,0.0,0.13823529411764707,1.468235294117647
