rank,game_title,platform,year,genre,publisher,developer,north_america,europe,japan,rest_of_world,global,review,critic_score,user_score,url
1,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo EAD,40.43,28.39,3.77,8.54,81.12,76.28,7.7,,http://www.vgchartz.com/game/2667/wii-sports/?region=All
2,Super Mario Bros.,NES,1985,Platform,Nintendo,Nintendo EAD,29.08,3.58,6.81,0.77,40.24,91,10,,http://www.vgchartz.com/game/6455/super-mario-bros/?region=All
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo EAD,14.5,12.22,3.63,3.21,33.55,82.07,8.2,9.1,http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo EAD,14.82,10.51,3.18,3.01,31.52,82.65,8,8.8,http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All
5,Tetris,GB,1989,Puzzle,Nintendo,Bullet Proof Software,23.2,2.26,4.22,0.58,30.26,88,,,http://www.vgchartz.com/game/4534/tetris/?region=All
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo EAD,10.85,8.87,6.48,2.88,29.08,90,9.1,8.1,http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All
7,Wii Play,Wii,2006,Misc,Nintendo,Nintendo EAD,13.83,9.11,2.93,2.84,28.71,61.64,5.9,4.5,http://www.vgchartz.com/game/2666/wii-play/?region=All
8,Duck Hunt,NES,1984,Shooter,Nintendo,Nintendo R&D1,26.93,0.63,0.28,0.47,28.31,84,,,http://www.vgchartz.com/game/6246/duck-hunt/?region=All
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo EAD,13.35,6.48,4.66,2.25,26.75,88.18,8.6,9.2,http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All
10,Nintendogs,DS,2005,Simulation,Nintendo,Nintendo EAD,9.02,10.81,1.93,2.73,24.5,85,8.4,,http://www.vgchartz.com/game/1657/nintendogs/?region=All
11,Pokémon Gold / Silver Version,GB,1999,Role-Playing,Nintendo,Game Freak  ,9,6.18,7.2,0.71,23.1,89,#N/A,,
12,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo EAD,8.91,8.15,3.6,2.08,22.74,81.2,7.9,,http://www.vgchartz.com/game/7480/wii-fit/?region=All
13,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo EAD,9.34,7.12,4.11,1.9,22.47,91.34,9.1,9.4,http://www.vgchartz.com/game/1254/mario-kart-ds/?region=All
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo EAD,8.82,7.94,2.53,1.86,21.15,80.83,8,,http://www.vgchartz.com/game/35077/wii-fit-plus/?region=All
15,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,Rockstar North,9.43,8.48,0.41,2.49,20.81,95.08,9.5,,http://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/?region=All
16,Super Mario World,SNES,1990,Platform,Nintendo,Nintendo EAD,12.78,3.75,3.54,0.55,20.61,94,8.5,,http://www.vgchartz.com/game/4441/super-mario-world/?region=All
17,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,4.72,9.1,4.16,2.04,20.02,78.05,8.1,,http://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/?region=All
18,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,Good Science Studio,13.5,4.34,0.24,1.82,19.9,65.39,6.7,,http://www.vgchartz.com/game/45608/kinect-adventures/?region=All
19,Super Mario Land,GB,1989,Platform,Nintendo,Nintendo R&D1,10.83,2.71,4.18,0.42,18.14,82,,,http://www.vgchartz.com/game/4436/super-mario-land/?region=All
20,Pokémon Diamond / Pearl Version,DS,2006,Role-Playing,Nintendo,Game Freak  ,6.32,4.34,6.04,1.35,18.05,90,#N/A,,
21,Super Mario Bros. 3,NES,1988,Platform,Nintendo,Nintendo R&D2,9.54,3.44,3.84,0.46,17.28,93,,,http://www.vgchartz.com/game/6458/super-mario-bros-3/?region=All
22,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,1.78,16.15,94.43,9.6,,http://www.vgchartz.com/game/896/grand-theft-auto-vice-city/?region=All
23,Pokémon Ruby / Sapphire Version,GBA,2002,Role-Playing,Nintendo,Game Freak  ,6.06,3.9,5.38,0.5,15.85,86,#N/A,,
24,Brain Age 2: More Training in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo SDD,3.41,5.32,5.32,1.18,15.24,79.61,8,,http://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/?region=All
25,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,4.99,1.87,1.16,14.88,94.47,9.3,,http://www.vgchartz.com/game/886/gran-turismo-3-a-spec/?region=All
26,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,Infinity Ward,9.23,4.09,0.12,1.43,14.87,88.49,8.7,,http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
27,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,Game Freak  ,5.89,5.04,3.12,0.59,14.64,88,#N/A,,
28,Pokémon Black / White Version,DS,2010,Role-Playing,Nintendo,Game Freak  ,5.3,2.81,5.64,0.89,14.64,85.88,#N/A,,
29,Call of Duty: Black Ops,X360,2010,Shooter,Activision,Treyarch,9.08,3.42,0.1,1.3,13.9,87.56,8.8,,http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
30,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,1.3,13.1,91,9.5,,http://www.vgchartz.com/game/891/grand-theft-auto-iii/?region=All
31,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,Infinity Ward,8.27,3.39,0.08,1.26,13,93.57,9.5,9,http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All
32,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,Infinity Ward,5.46,4.7,0.47,2.02,12.65,88.1,8.7,,http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All
33,Super Mario 64,N64,1996,Platform,Nintendo,Nintendo EAD,6.91,2.85,1.91,0.23,11.89,93,9.7,,http://www.vgchartz.com/game/2278/super-mario-64/?region=All
34,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,Treyarch,5.67,3.96,0.47,1.79,11.88,88.36,8.8,,http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,Treyarch,7.25,3.42,0.04,1.14,11.85,87.56,,,http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All
36,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo EAD,2.43,3.25,5.33,0.84,11.84,86.27,8.5,,http://www.vgchartz.com/game/82/animal-crossing-wild-world/?region=All
